"ISIN","AMC code","Scheme Name","AMC Name","AMC Image"
"INF179KA17J9","H","HDFC Floating Rate Income Fund - Regular Plan - Normal Dividend Option","HDFC Mutual Fund",""
"INF179K01XL1","H","HDFC MF MIP STP -Direct Plan - Monthly Dividend Option","HDFC Mutual Fund",""
"INF179K01UY0","H","HDFC Balanced Fund -Direct Plan - Dividend Option","HDFC Mutual Fund",""
"INF179K01AU0","H","HDFC Prudence Fund - Dividend Option","HDFC Mutual Fund",""
"INF179K01AJ3","H","HDFC MF Monthly Income Plan-Short Term Plan-Quarterly Dividend Option","HDFC Mutual Fund",""
"INF179K01AH7","H","HDFC MF Monthly Income Plan-Short Term Plan-Monthly Dividend Option","HDFC Mutual Fund",""
"INF179K01541","H","HDFC Low Duration Fund- Wholesale Daily Dividend","HDFC Mutual Fund",""
"INF179K01384","H","HDFC Balanced Fund Dividend Reinvestment","HDFC Mutual Fund",""
"INF179K01AT2","H","HDFC PRUDENCE FUND - IDCW PAYOUT OPTION","HDFC Mutual Fund",""
"INF179K01AV8","H","HDFC PRUDENCE FUND - GROWTH OPTION","HDFC Mutual Fund",""
"INF179K01YA2","H","HDFC PRUDENCE FUND - DIRECT PLAN - IDCW PAYOUT","HDFC Mutual Fund",""
"INF179K01YC8","H","HDFC PRUDENCE FUND - DIRECT PLAN - GROWTH OPTION","HDFC Mutual Fund",""
"INF179K01AI5","H","HDFC MF MONTHLY INCOME PLAN - SHORT TERM PLAN - QUARTERLY IDCW REINVESTMENT OPTION","HDFC Mutual Fund",""
"INF179K01AG9","H","HDFC MF MONTHLY INCOME PLAN - SHORT TERM PLAN - MONTHLY IDCW REINVESTMENT OPTION","HDFC Mutual Fund",""
"INF179K01XN7","H","HDFC MF MONTHLY INCOME PLAN - SHORT TERM PLAN - DIRECT PLAN - QUARTERLY IDCW REINVESTMENT OPTION","HDFC Mutual Fund",""
"INF179K01XM9","H","HDFC MF MONTHLY INCOME PLAN - SHORT TERM PLAN - DIRECT PLAN - QUARTERLY IDCW PAYOUT OPTION","HDFC Mutual Fund",""
"INF179K01XK3","H","HDFC MF MONTHLY INCOME PLAN - SHORT TERM PLAN - DIRECT PLAN - MONTHLY IDCW REINVESTMENT","HDFC Mutual Fund",""
"INF179K01XJ5","H","HDFC MF MONTHLY INCOME PLAN - SHORT TERM PLAN - DIRECT PLAN - GROWTH OPTION","HDFC Mutual Fund",""
"INF179KB1HN4","H","HDFC LIQUID FUND - PREMIUM PLAN - GROWTH","HDFC Mutual Fund",""
"INF179K01616","H","HDFC FLOATING RATE INCOME FUND - LONG TERM PLAN - IDCW REINVESTMENT OPTION","HDFC Mutual Fund",""
"INF179K01624","H","HDFC FLOATING RATE INCOME FUND - LONG TERM PLAN - GROWTH OPTION","HDFC Mutual Fund",""
"INF179KA16J1","H","HDFC FLOATING RATE INCOME FUND - LONG TERM PLAN - DIRECT PLAN - NORMAL IDCW PAYOUT","HDFC Mutual Fund",""
"INF179K01VN1","H","HDFC FLOATING RATE INCOME FUND - LONG TERM PLAN - DIRECT PLAN - GROWTH OPTION","HDFC Mutual Fund",""
"INF179K01632","H","HDFC FLOATING RATE DEBT FUND -RETAIL OPTION- REGULAR PLAN - GROWTH","HDFC Mutual Fund",""
"INF179K01657","H","HDFC FLOATING RATE DEBT FUND - RETAIL OPTION-REGULAR PLAN -IDCW MONTHLY PAYOUT","HDFC Mutual Fund",""
"INF179K01673","H","HDFC FLOATING RATE DEBT FUND - RETAIL OPTION-REGULAR PLAN - WEEKLY IDCW REINVESTMENT REINVESTMENT","HDFC Mutual Fund",""
"INF179K01681","H","HDFC FLOATING RATE DEBT FUND - RETAIL OPTION-REGULAR PLAN - IDCW WEEKLY PAYOUT","HDFC Mutual Fund",""
"INF179K01665","H","HDFC FLOATING RATE DEBT FUND - RETAIL OPTION - REGULAR PLAN - MONTHLY IDCW REINVESTMENT REINVESTMENT","HDFC Mutual Fund",""
"INF179K01640","H","HDFC FLOATING RATE DEBT FUND - RETAIL OPTION - REGULAR PLAN - IDCW REINVESTMENT - DAILY REINVESTMENT","HDFC Mutual Fund",""
"INF179K01392","H","HDFC BALANCED FUND - GROWTH OPTION","HDFC Mutual Fund",""
"INF179K01UX2","H","HDFC BALANCED FUND - DIRECT PLAN - IDCW PAYOUT","HDFC Mutual Fund",""
"INF179K01UZ7","H","HDFC BALANCED FUND - DIRECT PLAN - GROWTH OPTION","HDFC Mutual Fund",""
"INF179K01525","H","HDFC Low Duration Fund- Wholesale Weekly Dividend","HDFC Mutual Fund",""
"INF179K01509","H","HDFC Low Duration Fund- Wholesale Monthly Dividend","HDFC Mutual Fund",""
"INF179K01491","H","HDFC Low Duration Fund- Wholesale- Growth","HDFC Mutual Fund",""
"INF179KA1GD8","H","HDFC Credit Risk Debt Fund - Quarterly IDCW Option","HDFC Mutual Fund",""
"INF179KA1GB2","H","HDFC Credit Risk Debt Fund - Quarterly IDCW - Direct Plan","HDFC Mutual Fund",""
"INF179KA1GA4","H","HDFC Credit Risk Debt Fund - IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179KA1I87","H","HDFC Credit Risk Debt Fund - IDCW Option","HDFC Mutual Fund",""
"INF179KA1FZ3","H","HDFC Credit Risk Debt Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01YU0","H","HDFC Top 100 Fund(IDCW-Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01BD4","H","HDFC Top 100 Fund(IDCW-Reinv)","HDFC Mutual Fund",""
"INF179K01XP2","H","HDFC Mid-Cap Opportunities Fund(IDCW-Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01CT8","H","HDFC Mid-Cap Opportunities Fund(IDCW-Reinv)","HDFC Mutual Fund",""
"INF179K01WR0","H","HDFC Infrastructure Fund(IDCW-Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01GG6","H","HDFC Infrastructure Fund(IDCW-Reinv)","HDFC Mutual Fund",""
"INF179K01XY4","H","HDFC Hybrid Equity Fund(IDCW-Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01AR6","H","HDFC Hybrid Equity Fund(IDCW-Reinv)","HDFC Mutual Fund",""
"INF179K01XI7","H","HDFC Hybrid Debt Fund(Q-IDCW Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01AD6","H","HDFC Hybrid Debt Fund(Q-IDCW Reinv)","HDFC Mutual Fund",""
"INF179K01XG1","H","HDFC Hybrid Debt Fund(M-IDCW Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01AB0","H","HDFC Hybrid Debt Fund(M-IDCW Reinv)","HDFC Mutual Fund",""
"INF179K01VJ9","H","HDFC Focused 30 Fund(IDCW-Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01566","H","HDFC Focused 30 Fund(IDCW-Reinv)","HDFC Mutual Fund",""
"INF179K01590","H","HDFC Flexi Cap Fund(IDCW-Reinv)","HDFC Mutual Fund",""
"INF179K01VB6","H","HDFC Capital Builder Value Fund(IDCW-Reinv)-Direct Plan","HDFC Mutual Fund",""
