"ISIN","Lender","Eligible Percentage","Security Category"
"INE999A01015","Choice Finserv",50.0,"Cat C"
"INE985S01024","Choice Finserv",50.0,"Cat C"
"INE978A01027","Choice Finserv",50.0,"Cat C"
"INE974H01013","Choice Finserv",50.0,"Cat C"
"INE956G01038","Choice Finserv",50.0,"Cat C"
"INE943C01027","Choice Finserv",50.0,"Cat C"
"INE935N01012","Choice Finserv",50.0,"Cat C"
"INE934S01014","Choice Finserv",50.0,"Cat C"
"INE933S01016","Choice Finserv",50.0,"Cat C"
"INE931S01010","Choice Finserv",50.0,"Cat C"
"INE927D01028","Choice Finserv",50.0,"Cat C"
"INE917M01012","Choice Finserv",50.0,"Cat C"
"INE914M01019","Choice Finserv",50.0,"Cat C"
"INE907A01026","Choice Finserv",50.0,"Cat C"
"INE898S01029","Choice Finserv",50.0,"Cat C"
"INE896L01010","Choice Finserv",50.0,"Cat C"
"INE891D01026","Choice Finserv",50.0,"Cat C"
"INE883N01014","Choice Finserv",50.0,"Cat C"
"INE878K01010","Choice Finserv",50.0,"Cat C"
"INE878A01011","Choice Finserv",50.0,"Cat C"
"INE876N01018","Choice Finserv",50.0,"Cat C"
"INE873D01024","Choice Finserv",50.0,"Cat C"
"INE868B01028","Choice Finserv",50.0,"Cat C"
"INE855B01025","Choice Finserv",50.0,"Cat C"
"INE852F01015","Choice Finserv",50.0,"Cat C"
"INE844O01030","Choice Finserv",50.0,"Cat C"
"INE838B01013","Choice Finserv",50.0,"Cat C"
"INE836B01017","Choice Finserv",50.0,"Cat C"
"INE836A01035","Choice Finserv",50.0,"Cat C"
"INE824B01021","Choice Finserv",50.0,"Cat C"
"INE823G01014","Choice Finserv",50.0,"Cat C"
"INE818H01020","Choice Finserv",50.0,"Cat C"
"INE816B01027","Choice Finserv",50.0,"Cat C"
"INE814H01011","Choice Finserv",50.0,"Cat C"
"INE807F01027","Choice Finserv",50.0,"Cat C"
"INE793A01012","Choice Finserv",50.0,"Cat C"
"INE791I01019","Choice Finserv",50.0,"Cat C"
"INE782A01015","Choice Finserv",50.0,"Cat C"
"INE780C01023","Choice Finserv",50.0,"Cat C"
"INE767A01016","Choice Finserv",50.0,"Cat C"
"INE764D01017","Choice Finserv",50.0,"Cat C"
"INE759A01021","Choice Finserv",50.0,"Cat C"
"INE752H01013","Choice Finserv",50.0,"Cat C"
"INE749A01030","Choice Finserv",50.0,"Cat C"
"INE739E01017","Choice Finserv",50.0,"Cat C"
"INE738I01010","Choice Finserv",50.0,"Cat C"
"INE725G01011","Choice Finserv",50.0,"Cat C"
"INE725A01022","Choice Finserv",50.0,"Cat C"
"INE722A01011","Choice Finserv",50.0,"Cat C"
"INE707A01012","Choice Finserv",50.0,"Cat C"
"INE703B01027","Choice Finserv",50.0,"Cat C"
"INE702C01019","Choice Finserv",50.0,"Cat C"
"INE688A01022","Choice Finserv",50.0,"Cat C"
"INE686Y01026","Choice Finserv",50.0,"Cat C"
"INE674A01014","Choice Finserv",50.0,"Cat C"
"INE672A01018","Choice Finserv",50.0,"Cat C"
"INE671H01015","Choice Finserv",50.0,"Cat C"
"INE666D01022","Choice Finserv",50.0,"Cat C"
"INE647O01011","Choice Finserv",50.0,"Cat C"
"INE635Q01029","Choice Finserv",50.0,"Cat C"
"INE625G01013","Choice Finserv",50.0,"Cat C"
"INE612J01015","Choice Finserv",50.0,"Cat C"
"INE603A01013","Choice Finserv",50.0,"Cat C"
"INE602A01023","Choice Finserv",50.0,"Cat C"
"INE599M01018","Choice Finserv",50.0,"Cat C"
"INE594H01019","Choice Finserv",50.0,"Cat C"
"INE592A01026","Choice Finserv",50.0,"Cat C"
"INE589A01014","Choice Finserv",50.0,"Cat C"
"INE586V01016","Choice Finserv",50.0,"Cat C"
"INE586B01026","Choice Finserv",50.0,"Cat C"
"INE585A01020","Choice Finserv",50.0,"Cat C"
"INE578A01017","Choice Finserv",50.0,"Cat C"
"INE572J01011","Choice Finserv",50.0,"Cat C"
"INE572E01012","Choice Finserv",50.0,"Cat C"
"INE563J01010","Choice Finserv",50.0,"Cat C"
"INE562A01011","Choice Finserv",50.0,"Cat C"
"INE560A01015","Choice Finserv",50.0,"Cat C"
"INE559A01017","Choice Finserv",50.0,"Cat C"
"INE557A01011","Choice Finserv",50.0,"Cat C"
"INE551W01018","Choice Finserv",50.0,"Cat C"
"INE541A01023","Choice Finserv",50.0,"Cat C"
"INE533A01012","Choice Finserv",50.0,"Cat C"
"INE529A01010","Choice Finserv",50.0,"Cat C"
"INE524A01029","Choice Finserv",50.0,"Cat C"
"INE520A01027","Choice Finserv",50.0,"Cat C"
"INE516A01017","Choice Finserv",50.0,"Cat C"
"INE513A01014","Choice Finserv",50.0,"Cat C"
"INE506A01018","Choice Finserv",50.0,"Cat C"
"INE501A01019","Choice Finserv",50.0,"Cat C"
"INE500L01026","Choice Finserv",50.0,"Cat C"
"INE498B01024","Choice Finserv",50.0,"Cat C"
"INE495A01022","Choice Finserv",50.0,"Cat C"
"INE491A01021","Choice Finserv",50.0,"Cat C"
"INE484C01022","Choice Finserv",50.0,"Cat C"
"INE475B01022","Choice Finserv",50.0,"Cat C"
"INE473B01035","Choice Finserv",50.0,"Cat C"
"INE472A01039","Choice Finserv",50.0,"Cat C"
"INE461C01038","Choice Finserv",50.0,"Cat C"
"INE460H01021","Choice Finserv",50.0,"Cat C"
"INE455T01018","Choice Finserv",50.0,"Cat C"
"INE455I01029","Choice Finserv",50.0,"Cat C"
"INE442H01029","Choice Finserv",50.0,"Cat C"
"INE437A01024","Choice Finserv",50.0,"Cat C"
"INE426A01027","Choice Finserv",50.0,"Cat C"
"INE425Y01011","Choice Finserv",50.0,"Cat C"
"INE424H01027","Choice Finserv",50.0,"Cat C"
"INE421D01022","Choice Finserv",50.0,"Cat C"
"INE418H01029","Choice Finserv",50.0,"Cat C"
"INE410P01011","Choice Finserv",50.0,"Cat C"
"INE399L01023","Choice Finserv",50.0,"Cat C"
"INE385W01011","Choice Finserv",50.0,"Cat C"
"INE373A01013","Choice Finserv",50.0,"Cat C"
"INE372A01015","Choice Finserv",50.0,"Cat C"
"INE371P01015","Choice Finserv",50.0,"Cat C"
"INE371A01025","Choice Finserv",50.0,"Cat C"
"INE369A01029","Choice Finserv",50.0,"Cat C"
"INE366I01010","Choice Finserv",50.0,"Cat C"
"INE349A01021","Choice Finserv",50.0,"Cat C"
"INE348L01012","Choice Finserv",50.0,"Cat C"
"INE347A01017","Choice Finserv",50.0,"Cat C"
"INE346W01013","Choice Finserv",50.0,"Cat C"
