ISIN_NO,Lender,Eligibile Percentage,Security/Scheme Category,Instrument Type,AMC code,AMC Name,Security/Scheme Name,Scheme Type,Allowed,Status,Remark
INF209KB13G7,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49837,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Next 50 Index Fund Regular IDCW,Equity,1,,
INF209KB12G9,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49837,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Next 50 Index Fund Regular Growth,Equity,1,,
INF209KB11G1,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49837,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Next 50 Index Fund Direct IDCW,Equity,1,,
INF209K01LA4,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y3Y4,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty 50 Index Fund-IDCW-Regular Plan (formerly known as Aditya Birla Sun Life Index Fund-IDCW-Regular Plan),Equity,1,,
INF209K01LB2,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y3Y4,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty 50 Index Fund - Growth-Regular Plan (formerly known as Aditya Birla Sun Life Index Fund - Growth-Regular Plan),Equity,1,,
INF209K01LC0,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y3Y4,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty 50 Index Fund - IDCW - Reinvestment-Regular Plan (formerly known as Aditya Birla Sun Life Index Fund - IDCW - Reinvestment-Regular Plan),Equity,1,,
INF209KB1V91,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y488YY,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Regular IDCW,Equity,1,,
INF209KB1V83,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y488YY,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Regular Growth,Equity,1,,
INF209KB1W09,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y488YY,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Regular IDCW Reinvestment,Equity,1,,
INF209KB1W25,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y488YY,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Direct IDCW,Equity,1,,
INF209KB1W17,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y488YY,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Direct Growth,Equity,1,,
INF209KB1W33,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y488YY,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Direct IDCW Reinvestment,Equity,1,,
INF209KB1W58,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y48805,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Midcap Y50 Index Fund Regular IDCW,Equity,1,,
INF209KB1W41,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y48805,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Midcap Y50 Index Fund Regular Growth,Equity,1,,
INF209KB1W66,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y48805,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Midcap Y50 Index Fund Regular IDCW Reinvestment,Equity,1,,
INF209KB1W82,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y48805,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Midcap Y50 Index Fund Direct IDCW,Equity,1,,
INF209KB1W74,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y48805,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Midcap Y50 Index Fund Direct Growth,Equity,1,,
INF209KB1W90,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y48805,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Midcap Y50 Index Fund Direct IDCW Reinvestment,Equity,1,,
INF209KB1Z55,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y48965,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Regular IDCW,Equity,1,,
INF209KB1Z48,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y48965,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Regular Growth,Equity,1,,
INF209KB1Z63,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y48965,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Regular IDCW Reinvestment,Equity,1,,
INF209KB1Z89,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y48965,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Direct IDCW,Equity,1,,
INF209KB1Z71,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y48965,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Direct Growth,Equity,1,,
INF209KB1Z97,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y48965,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Direct IDCW Reinvestment,Equity,1,,
INF209K01BO6,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y03Y74,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Frontline Equity Fund -IDCW-Regular Plan,Equity,1,,
INF209K01ED3,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y03Y74,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Frontline Equity Fund -PLAN B- Dividend Reinvest,Equity,1,,
INF209K01BP3,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y03Y74,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Frontline Equity Fund -PLAN B- IDCW,Equity,1,,
INF209K01EC5,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y03Y74,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Frontline Equity Fund - IDCW Reinvest-Regular Plan,Equity,1,,
INF209K01BQ1,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y03Y74,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Frontline Equity Fund -PLAN B- Growth,Equity,1,,
INF209K01BR9,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y03Y74,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Frontline Equity Fund -Growth-Regular Plan,Equity,1,,
INF209K01KI9,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y03Y74,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Frontline Equity Fund (Trigger Facility) - Growth,Equity,1,,
INF740K01243,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y635,DSP Mutual Fund,DSP Top Y00 Equity Fund - Regular Plan - Growth,Equity,1,,
INF740K01227,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y635,DSP Mutual Fund,DSP Top Y00 Equity Fund - Regular Plan - IDCW,Equity,1,,
INF740K01235,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y635,DSP Mutual Fund,DSP Top Y00 Equity Fund - Regular Plan - IDCW - Reinvest,Equity,1,,
INF740KA1CO4,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4Y875,DSP Mutual Fund,DSP Equal Nifty 50 Fund - Reg - Growth,Equity,1,,
INF740KA1CP1,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4Y875,DSP Mutual Fund,DSP Equal Nifty 50 Fund - Reg - IDCW,Equity,1,,
INF740KA1CQ9,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4Y875,DSP Mutual Fund,DSP Equal Nifty 50 Fund - Reg - IDCW - Reinvest,Equity,1,,
INF740KA1MJ3,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y46379,DSP Mutual Fund,DSP Nifty 50 Index Fund - Reg - Growth,Equity,1,,
INF740KA1MK1,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y46379,DSP Mutual Fund,DSP Nifty 50 Index Fund - Reg - IDCW,Equity,1,,
INF740KA1ML9,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y46379,DSP Mutual Fund,DSP Nifty 50 Index Fund - Reg - IDCW Reinvest,Equity,1,,
INF740KA1MD6,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y46380,DSP Mutual Fund,DSP Nifty Next 50 Index Fund - Reg - Growth,Equity,1,,
INF740KA1ME4,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y46380,DSP Mutual Fund,DSP Nifty Next 50 Index Fund - Reg - IDCW,Equity,1,,
INF740KA1MF1,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y46380,DSP Mutual Fund,DSP Nifty Next 50 Index Fund - Reg - IDCW - Reinvest,Equity,1,,
INF740KA1CR7,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4Y875,DSP Mutual Fund,DSP Equal Nifty 50 Fund - Dir - Growth,Equity,1,,
INF740KA1CS5,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4Y875,DSP Mutual Fund,DSP Equal Nifty 50 Fund - Dir - IDCW,Equity,1,,
INF740KA1CT3,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4Y875,DSP Mutual Fund,DSP Equal Nifty 50 Fund - Dir - IDCW - Reinvest,Equity,1,,
INF740KA1MM7,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y46379,DSP Mutual Fund,DSP Nifty 50 Index Fund - Dir - Growth,Equity,1,,
INF740KA1MN5,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y46379,DSP Mutual Fund,DSP Nifty 50 Index Fund - Dir - IDCW,Equity,1,,
INF740KA1MO3,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y46379,DSP Mutual Fund,DSP Nifty 50 Index Fund - Dir - IDCW - Reinvest,Equity,1,,
INF740KA1MG9,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y46380,DSP Mutual Fund,DSP Nifty Next 50 Index Fund - Dir - Growth,Equity,1,,
INF740KA1MH7,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y46380,DSP Mutual Fund,DSP Nifty Next 50 Index Fund - Dir - IDCW,Equity,1,,
INF740KA1MI5,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y46380,DSP Mutual Fund,DSP Nifty Next 50 Index Fund - Dir - IDCW - Reinvest,Equity,1,,
INF179KC1BY3,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49869,HDFC Mutual Fund,HDFC NIFTY Y00 Index Fund Direct Growth,Equity,1,,
INF179KC1CA1,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4987Y,HDFC Mutual Fund,HDFC NIFTY Y00 Equal Weight Index Fund Direct Growth,Equity,1,,
INF179K01BC6,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y02000,HDFC Mutual Fund,HDFC Top Y00 Fund - Regular Plan - IDCW,Equity,1,,
INF179K01BD4,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y02000,HDFC Mutual Fund,HDFC Top Y00 Fund - Regular Plan - IDCW Reinvest,Equity,1,,
INF179K01BE2,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y02000,HDFC Mutual Fund,HDFC Top Y00 Fund - Regular Plan - Growth,Equity,1,,
INF179K01KZ8,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y525,HDFC Mutual Fund,HDFC Index Fund-NIFTY 50 Plan - Regular Plan,Equity,1,,
INF179K01LB7,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y28Y,HDFC Mutual Fund,HDFC Index Fund - Sensex Plus Plan - Regular Plan,Equity,1,,
INF179K01LA9,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y28Y,HDFC Mutual Fund,HDFC Index Fund - Sensex Plan - Regular Plan,Equity,1,,
INF179KC1BM8,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49Y06,HDFC Mutual Fund,HDFC NIFTY50 Equal Weight Index Fund Direct Growth,Equity,1,,
INF179KC1BN6,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49Y06,HDFC Mutual Fund,HDFC NIFTY50 Equal Weight Index Fund Regular Growth,Equity,1,,
INF179KC1BQ9,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49287,HDFC Mutual Fund,HDFC NIFTY Next 50 Index Fund Direct Growth,Equity,1,,
INF336L01032,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y594,HSBC Mutual Fund,HSBC Large cap Equity Fund - IDCW,Equity,1,,
INF336L01024,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y594,HSBC Mutual Fund,HSBC Large cap Equity Fund - IDCW Payout,Equity,1,,
INF336L01016,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y594,HSBC Mutual Fund,HSBC Large cap Equity Fund - Growth,Equity,1,,
INF109K01BI0,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4928Y,ICICI Prudential Mutual Fund,ICICI Prudential Smallcap Fund - Growth,Equity,1,,
INF109K01BJ8,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4928Y,ICICI Prudential Mutual Fund,ICICI Prudential Smallcap Fund - IDCW,Equity,1,,
INF109K01BK6,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4928Y,ICICI Prudential Mutual Fund,ICICI Prudential Smallcap Fund - Institutional Growth,Equity,1,,
INF109K01BL4,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y08466,ICICI Prudential Mutual Fund,ICICI Prudential Bluechip Fund - Growth,Equity,1,,
INF109K01BM2,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y08466,ICICI Prudential Mutual Fund,ICICI Prudential Bluechip Fund - IDCW,Equity,1,,
INF109K01EP9,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y08466,ICICI Prudential Mutual Fund,ICICI Prudential Bluechip Fund - IDCW Payout,Equity,1,,
INF109K01BN0,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y08466,ICICI Prudential Mutual Fund,ICICI Prudential Bluechip Fund - Institutional Option - I,Equity,1,,
INF109K01IF1,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y349,ICICI Prudential Mutual Fund,ICICI Prudential Nifty Next 50 Index Fund - Growth,Equity,1,,
INF109K01IE4,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y349,ICICI Prudential Mutual Fund,ICICI Prudential Nifty Next 50 Index Fund - IDCW,Equity,1,,
INF109K01PR1,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y349,ICICI Prudential Mutual Fund,ICICI Prudential Nifty Next 50 Index Fund - IDCW Payout,Equity,1,,
INF109KB17W7,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4Y839,ICICI Prudential Mutual Fund,ICICI Prudential Sensex Index Fund Growth,Equity,1,,
INF109KC1U84,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4928Y,ICICI Prudential Mutual Fund,ICICI Prudential Smallcap Index Fund - Growth,Equity,1,,
INF109KC1V00,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4928Y,ICICI Prudential Mutual Fund,ICICI Prudential Smallcap Index Fund - IDCW,Equity,1,,
INF109KC1U92,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4928Y,ICICI Prudential Mutual Fund,ICICI Prudential Smallcap Index Fund - IDCW Payout,Equity,1,,
INF109KC1W25,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49390,ICICI Prudential Mutual Fund,ICICI Prudential Midcap Y50 Index Fund - Growth,Equity,1,,
INF109KC1W41,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49390,ICICI Prudential Mutual Fund,ICICI Prudential Midcap Y50 Index Fund - IDCW,Equity,1,,
INF109KC1W33,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49390,ICICI Prudential Mutual Fund,ICICI Prudential Midcap Y50 Index Fund - IDCW Payout,Equity,1,,
INF109KC1Z89,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49859,ICICI Prudential Mutual Fund,ICICI Prudential Nifty Bank Index Fund - Growth,Equity,1,,
INF109KC1Z97,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49859,ICICI Prudential Mutual Fund,ICICI Prudential Nifty Bank Index Fund - IDCW Payout,Equity,1,,
INF109KC1NS5,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y0Y349,ICICI Prudential Mutual Fund,ICICI Prudential Nifty Next 50 ETF,Equity,1,,
INF109KC1G82,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49390,ICICI Prudential Mutual Fund,ICICI Prudential Midcap Y50 ETF,Equity,1,,
INF109K014M3,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4928Y,ICICI Prudential Mutual Fund,ICICI Prudential Smallcap Fund - Direct Plan - IDCW,Equity,1,,
INF109K013M5,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4928Y,ICICI Prudential Mutual Fund,ICICI Prudential Smallcap Fund - Direct Plan - IDCW Payout,Equity,1,,
INF109K016L0,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y08466,ICICI Prudential Mutual Fund,ICICI Prudential Bluechip Fund - Direct Plan - Growth,Equity,1,,
INF109K015L2,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y08466,ICICI Prudential Mutual Fund,ICICI Prudential Bluechip Fund - Direct Plan - IDCW,Equity,1,,
INF109K014L5,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y08466,ICICI Prudential Mutual Fund,ICICI Prudential Bluechip Fund - Direct Plan - IDCW Payout,Equity,1,,
INF109KC1V18,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4928Y,ICICI Prudential Mutual Fund,ICICI Prudential Smallcap Index Fund - Direct Plan - Growth,Equity,1,,
INF109KC1V34,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4928Y,ICICI Prudential Mutual Fund,ICICI Prudential Smallcap Index Fund - Direct Plan - IDCW,Equity,1,,
INF109KC1V26,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y4928Y,ICICI Prudential Mutual Fund,ICICI Prudential Smallcap Index Fund - Direct Plan - IDCW Payout,Equity,1,,
INF109KC1W58,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49390,ICICI Prudential Mutual Fund,ICICI Prudential Midcap Y50 Index Fund - Direct Plan - Growth,Equity,1,,
INF109KC1W74,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49390,ICICI Prudential Mutual Fund,ICICI Prudential Midcap Y50 Index Fund - Direct Plan - IDCW,Equity,1,,
INF109KC1W66,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49390,ICICI Prudential Mutual Fund,ICICI Prudential Midcap Y50 Index Fund - Direct Plan - IDCW Payout,Equity,1,,
INF109KC11A4,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y49859,ICICI Prudential Mutual Fund,ICICI Prudential Nifty Bank Index Fund - Direct Plan - Growth,Equity,1,,
INF194K01516,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y08799,IDFC Mutual Fund,IDFC Large Cap Fund-Growth-(Regular Plan),Equity,1,,
INF194K01490,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y08799,IDFC Mutual Fund,IDFC Large Cap Fund-IDCW-(Regular Plan),Equity,1,,
INF194K01508,Choice Finserv,50,Super Cat A_Choice Finserv,Mutual Fund,Y08799,IDFC Mutual Fund,IDFC Large Cap Fund-IDCW-(Regular Plan)-Reinv-Exch,Equity,1,,
