AMC Code,AMC Name,AMC Image
149837,Aditya Birla Sun Life Mutual Fund,
101314,Aditya Birla Sun Life Mutual Fund,
148811,Aditya Birla Sun Life Mutual Fund,
148805,Aditya Birla Sun Life Mutual Fund,
148965,Aditya Birla Sun Life Mutual Fund,
103174,Aditya Birla Sun Life Mutual Fund,
101635,DSP Mutual Fund,
141875,DSP Mutual Fund,
146379,DSP Mutual Fund,
146380,DSP Mutual Fund,
149869,HDFC Mutual Fund,
149871,HDFC Mutual Fund,
102000,HDFC Mutual Fund,
101525,HDFC Mutual Fund,
101281,HDFC Mutual Fund,
149106,HDFC Mutual Fund,
149287,HDFC Mutual Fund,
101594,HSBC Mutual Fund,
149281,ICICI Prudential Mutual Fund,
108466,ICICI Prudential Mutual Fund,
101349,ICICI Prudential Mutual Fund,
141839,ICICI Prudential Mutual Fund,
149390,ICICI Prudential Mutual Fund,
149859,ICICI Prudential Mutual Fund,
108799,IDFC Mutual Fund,
112877,IDFC Mutual Fund,
149833,IDFC Mutual Fund,
114458,Kotak Mutual Fund,
148743,Kotak Mutual Fund,
148974,Kotak Mutual Fund,
118069,L&T Mutual Fund,
148361,L&T Mutual Fund,
148365,L&T Mutual Fund,
146551,Mahindra Manulife Mutual Fund,
102272,SBI Mutual Fund,
103504,SBI Mutual Fund,
148943,SBI Mutual Fund,
101659,Tata Mutual Fund,
101746,Tata Mutual Fund,
100475,Tata Mutual Fund,
141247,Union Mutual Fund,
149783,Aditya Birla Sun Life Mutual Fund,
101317,Aditya Birla Sun Life Mutual Fund,
101976,Aditya Birla Sun Life Mutual Fund,
101818,Aditya Birla Sun Life Mutual Fund,
100058,Aditya Birla Sun Life Mutual Fund,
116796,Aditya Birla Sun Life Mutual Fund,
100087,DSP Mutual Fund,
104138,DSP Mutual Fund,
100084,DSP Mutual Fund,
149968,DSP Mutual Fund,
101993,HDFC Mutual Fund,
115934,HDFC Mutual Fund,
101083,HDFC Mutual Fund,
102147,HDFC Mutual Fund,
145040,HDFC Mutual Fund,
149963,HSBC Mutual Fund,
147907,HSBC Mutual Fund,
102262,HSBC Mutual Fund,
103633,ICICI Prudential Mutual Fund,
102330,ICICI Prudential Mutual Fund,
115092,ICICI Prudential Mutual Fund,
115833,ICICI Prudential Mutual Fund,
100369,ICICI Prudential Mutual Fund,
149998,ICICI Prudential Mutual Fund,
108756,IDFC Mutual Fund,
144171,IDFC Mutual Fund,
148786,IDFC Mutual Fund,
148790,IDFC Mutual Fund,
100281,Kotak Mutual Fund,
100265,Kotak Mutual Fund,
102591,Kotak Mutual Fund,
114859,Kotak Mutual Fund,
114758,Kotak Mutual Fund,
101893,Kotak Mutual Fund,
112423,L&T Mutual Fund,
114216,L&T Mutual Fund,
112487,L&T Mutual Fund,
112429,L&T Mutual Fund,
147734,Mahindra Manulife Mutual Fund,
148959,PPFAS Mutual Fund,
101001,SBI Mutual Fund,
102503,SBI Mutual Fund,
100641,SBI Mutual Fund,
115676,SBI Mutual Fund,
100968,SBI Mutual Fund,
101042,Tata Mutual Fund,
101847,Tata Mutual Fund,
146070,Tata Mutual Fund,
149116,Union Mutual Fund,
147307,WhiteOak Capital Mutual Fund,
-,Aditya Birla Sun Life Mutual Fund,
107745,Aditya Birla Sun Life Mutual Fund,
104331,Aditya Birla Sun Life Mutual Fund,
108167,Aditya Birla Sun Life Mutual Fund,
