New District,State Name
24 PARAGANAS NORTH,WB
24 PARAGANAS SOUTH,WB
ADILABAD,TS
AGAR MALWA,MP
Agartala,TR
AGRA,UP
AHMADABAD,GJ
Ahmadnagar,MH
Ahmed Nagar,MH
Ahmedabad,GJ
AHMEDNAGAR,MH
AIZAWL,MZ
AJMER,RJ
AKOLA,MH
ALAPPUZHA,KL
ALIGARH,UP
Alipurduar,WB
ALIRAJPUR,MP
Allahabad,UP
ALMORA,UA
Alund,KA
ALWAR,RJ
AMBALA,HR
AMBEDKAR NAGAR,UP
Amethi,UP
Amethi (Chatrapati Sahuji Mahraj Nagar),UP
AMRAVATI,MH
AMRELI,GJ
AMRITSAR,PB
AMROHA,UP
Amroha (J.P. Nagar),UP
ANAND,GJ
ANANTAPUR,AP
Ananthapur,AP
Ananthnag,JK
ANANTNAG,JK
Angul,OR
ANJAW,AR
ANUGUL,OR
ANUPPUR,MP
ARARIA,BR
Aravalli,GJ
Ariyalur,TN
ARMY POST OFFICE,AO
ARVALLI,GJ
ARWAL,BR
Ashok Nagar,MP
ASHOKNAGAR,MP
Athani,KA
AURAIYA,UP
AURANGABAD,BR
AURANGABAD,MH
Aurangabad(BH),BR
AYODHYA,UP
AZAMGARH,UP
Badgam,JK
Bagalkot,KA
BAGALKOTE,KA
BAGESHWAR,UA
BAGHPAT,UP
Bagpat,UP
BAHRAICH,UP
Bailhongal,KA
BAKSA,AS
BALAGHAT,MP
BALANGIR,OR
Balasore,OR
BALESHWAR,OR
Baleswar,OR
BALLARI,KA
Ballari (Bellary),KA
BALLIA,UP
BALOD,CG
Balod Bazer,CG
BALODA BAZAR,CG
BALRAMPUR,CG
BALRAMPUR,UP
BANAS KANTHA,GJ
Banaskantha,GJ
Banaskantha (Palanpur),GJ
BANDA,UP
BANDIPORA,JK
Bandipore,JK
Bandipur,JK
Bangalore,KA
Bangalore Rural,KA
BANKA,BR
BANKURA,WB
BANSWARA,RJ
Bapatla,AP
Bara Banki,UP
BARABANKI,UP
Baramula,JK
BARAMULLA,JK
BARAN,RJ
Barddhaman,WB
Bardhaman,WB
BAREILLY,UP
BARGARH,OR
BARMER,RJ
BARNALA,PB
BARPETA,AS
BARWANI,MP
BASTAR,CG
BASTI,UP
BATHINDA,PB
