Pincode|New District|State Name|State|Remarks
110002|Central Delhi|DELHI|DL|No change
110004|New Delhi|DELHI|DL|No change
110005|Central Delhi|DELHI|DL|No change
110008|West Delhi|DELHI|DL|No change
110010|NEW DELHI|DELHI|DL|No change
110011|New Delhi|DELHI|DL|No change
110012|West Delhi|DELHI|DL|No change
110015|West Delhi|DELHI|DL|No change
110016|South Delhi|DELHI|DL|No change
110017|South Delhi|DELHI|DL|No change
110018|West Delhi|DELHI|DL|No change
110019|South East Delhi|DELHI|DL|No change
110021|NEW DELHI|DELHI|DL|No change
110022|New Delhi|DELHI|DL|No change
110023|New Delhi|DELHI|DL|No change
110026|West Delhi|DELHI|DL|No change
110027|West Delhi|DELHI|DL|No change
110028|NEW DELHI|DELHI|DL|No change
110029|SOUTH DELHI|DELHI|DL|No change
110030|South Delhi|DELHI|DL|No change
110032|Shahdara|DELHI|DL|No change
110033|NORTH DELHI|DELHI|DL|No change
110034|North West Delhi|DELHI|DL|No change
110035|North West Delhi|DELHI|DL|No change
110036|NORTH DELHI|DELHI|DL|No change
110037|New Delhi|DELHI|DL|No change
110038|New Delhi|DELHI|DL|No change
110041|West Delhi|DELHI|DL|No change
110045|South West Delhi|DELHI|DL|No change
110046|NEW DELHI|DELHI|DL|No change
110047|South Delhi|DELHI|DL|No change
110053|North East Delhi|DELHI|DL|No change
110054|CENTRAL DELHI|DELHI|DL|No change
110056|North West Delhi|DELHI|DL|No change
110057|New Delhi|DELHI|DL|No change
110058|West Delhi|DELHI|DL|No change
110059|West Delhi|DELHI|DL|No change
110060|Central Delhi|DELHI|DL|No change
110062|South Delhi|DELHI|DL|No change
110063|West Delhi|DELHI|DL|No change
110064|West Delhi|DELHI|DL|No change
110066|New Delhi|DELHI|DL|No change
110067|NEW DELHI|DELHI|DL|No change
110068|South Delhi|DELHI|DL|No change
110069|New Delhi|DELHI|DL|No change
110070|NEW DELHI|DELHI|DL|No change
110071|South West Delhi|DELHI|DL|No change
110072|South West Delhi|DELHI|DL|No change
110073|South West Delhi|DELHI|DL|No change
110074|South Delhi|DELHI|DL|No change
110075|South West Delhi|DELHI|DL|No change
110076|South Delhi|DELHI|DL|No change
110078|South West Delhi|DELHI|DL|No change
110080|South Delhi|DELHI|DL|No change
110081|North West Delhi|DELHI|DL|No change
110082|NORTH DELHI|DELHI|DL|No change
110083|North West Delhi|DELHI|DL|No change
110085|NORTH WEST DELHI|DELHI|DL|No change
110086|North West Delhi|DELHI|DL|No change
110087|West Delhi|DELHI|DL|No change
110088|NORTH DELHI|DELHI|DL|No change
110089|NORTH WEST DELHI|DELHI|DL|No change
110090|North East Delhi|DELHI|DL|No change
110091|East Delhi|DELHI|DL|No change
110093|North East Delhi|DELHI|DL|No change
110094|North East Delhi|DELHI|DL|No change
110095|Shahdara|DELHI|DL|No change
110096|East Delhi|DELHI|DL|No change
110097|South West Delhi|DELHI|DL|No change
110099|North West Delhi|DELHI|DL|No change
110110|NORTH WEST DELHI|DELHI|DL|No change
121001|Faridabad|HARYANA|HR|No change
121002|Faridabad|HARYANA|HR|No change
121003|Faridabad|HARYANA|HR|No change
121005|Faridabad|HARYANA|HR|No change
121006|Faridabad|HARYANA|HR|No change
121007|Faridabad|HARYANA|HR|No change
121008|Faridabad|HARYANA|HR|No change
121009|Faridabad|HARYANA|HR|No change
121010|Faridabad|HARYANA|HR|No change
121012|Faridabad|HARYANA|HR|No change
121013|Faridabad|HARYANA|HR|No change
121014|Faridabad|HARYANA|HR|No change
121015|Faridabad|HARYANA|HR|No change
121101|Faridabad|HARYANA|HR|No change
121102|Palwal|HARYANA|HR|No change
121103|Palwal|HARYANA|HR|No change
121105|Palwal|HARYANA|HR|No change
121106|Palwal|HARYANA|HR|No change
121107|Palwal|HARYANA|HR|No change
122001|GURUGRAM|HARYANA|HR|No change
122002|GURUGRAM|HARYANA|HR|No change
122003|GURUGRAM|HARYANA|HR|No change
122004|GURUGRAM|HARYANA|HR|No change
122005|GURUGRAM|HARYANA|HR|No change
122006|GURUGRAM|HARYANA|HR|No change
122007|GURUGRAM|HARYANA|HR|No change
122008|GURUGRAM|HARYANA|HR|No change
122009|GURUGRAM|HARYANA|HR|No change
122010|GURUGRAM|HARYANA|HR|No change
122011|GURUGRAM|HARYANA|HR|No change
122012|GURUGRAM|HARYANA|HR|No change
122015|GURUGRAM|HARYANA|HR|No change
122016|GURUGRAM|HARYANA|HR|No change
122017|GURUGRAM|HARYANA|HR|No change
122018|GURUGRAM|HARYANA|HR|No change
122051|GURUGRAM|HARYANA|HR|No change
122052|GURUGRAM|HARYANA|HR|No change
122098|GURUGRAM|HARYANA|HR|No change
122101|GURUGRAM|HARYANA|HR|No change
122102|GURUGRAM|HARYANA|HR|No change
122104|Nuh|HARYANA|HR|No change
122105|Nuh|HARYANA|HR|No change
122107|Nuh|HARYANA|HR|No change
122108|Nuh|HARYANA|HR|No change
122413|GURUGRAM|HARYANA|HR|No change
122414|GURUGRAM|HARYANA|HR|No change
122503|GURUGRAM|HARYANA|HR|No change
122504|GURUGRAM|HARYANA|HR|No change
122505|GURUGRAM|HARYANA|HR|No change
