ISIN,Security/Scheme Name,Price/NAV,Segment,NSE Symbol,Instrument Type,Token ID,Scheme Type
INF209KB13G7,Aditya Birla Sun Life Nifty Next 50 Index Fund Regular IDCW,,,,Mutual Fund,,Equity
INF209KB12G9,Aditya Birla Sun Life Nifty Next 50 Index Fund Regular Growth,,,,Mutual Fund,,Equity
INF209KB11G1,Aditya Birla Sun Life Nifty Next 50 Index Fund Direct IDCW,,,,Mutual Fund,,Equity
INF209K01LA4,Aditya Birla Sun Life Nifty 50 Index Fund-IDCW-Regular Plan (formerly known as Aditya Birla Sun Life Index Fund-IDCW-Regular Plan),,,,Mutual Fund,,Equity
INF209K01LB2,Aditya Birla Sun Life Nifty 50 Index Fund - Growth-Regular Plan (formerly known as Aditya Birla Sun Life Index Fund - Growth-Regular Plan),,,,Mutual Fund,,Equity
INF209K01LC0,Aditya Birla Sun Life Nifty 50 Index Fund - IDCW - Reinvestment-Regular Plan (formerly known as Aditya Birla Sun Life Index Fund - IDCW - Reinvestment-Regular Plan),,,,Mutual Fund,,Equity
INF209KB1V91,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Regular IDCW,,,,Mutual Fund,,Equity
INF209KB1V83,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Regular Growth,,,,Mutual Fund,,Equity
INF209KB1W09,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Regular IDCW Reinvestment,,,,Mutual Fund,,Equity
INF209KB1W25,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Direct IDCW,,,,Mutual Fund,,Equity
INF209KB1W17,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Direct Growth,,,,Mutual Fund,,Equity
INF209KB1W33,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Direct IDCW Reinvestment,,,,Mutual Fund,,Equity
INF209KB1W58,Aditya Birla Sun Life Nifty Midcap 150 Index Fund Regular IDCW,,,,Mutual Fund,,Equity
INF209KB1W41,Aditya Birla Sun Life Nifty Midcap 150 Index Fund Regular Growth,,,,Mutual Fund,,Equity
INF209KB1W66,Aditya Birla Sun Life Nifty Midcap 150 Index Fund Regular IDCW Reinvestment,,,,Mutual Fund,,Equity
INF209KB1W82,Aditya Birla Sun Life Nifty Midcap 150 Index Fund Direct IDCW,,,,Mutual Fund,,Equity
INF209KB1W74,Aditya Birla Sun Life Nifty Midcap 150 Index Fund Direct Growth,,,,Mutual Fund,,Equity
INF209KB1W90,Aditya Birla Sun Life Nifty Midcap 150 Index Fund Direct IDCW Reinvestment,,,,Mutual Fund,,Equity
INF209KB1Z55,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Regular IDCW,,,,Mutual Fund,,Equity
INF209KB1Z48,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Regular Growth,,,,Mutual Fund,,Equity
INF209KB1Z63,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Regular IDCW Reinvestment,,,,Mutual Fund,,Equity
INF209KB1Z89,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Direct IDCW,,,,Mutual Fund,,Equity
