name
"ABHYUDAYA COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"ABHYUDAYA COOPERATIVE BANK LIMITED",1
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK",1
"THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD",1
"AIRTEL PAYMENTS BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"AIRTEL PAYMENTS BANK LIMITED",1
"The Ajara Urban Co op Bank Ltd Ajara","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"The Ajara Urban Co op Bank Ltd Ajara",1
"AMBARNATH JAIHIND COOP BANK LTD AMBARNATH","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"AMBARNATH JAIHIND COOP BANK LTD AMBARNATH",1
"AKOLA JANATA COMMERCIAL COOPERATIVE BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"AKOLA JANATA COMMERCIAL COOPERATIVE BANK",1
"AHMEDABAD MERCANTILE COOPERATIVE BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"AHMEDABAD MERCANTILE COOPERATIVE BANK",1
"AHMEDNAGAR MERCHANTS CO-OP BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"AHMEDNAGAR MERCHANTS CO-OP BANK LTD",1
"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED",1
