Code,Description
AN,ANDAMAN AND NICOBAR ISLANDS
AP,ANDHRA PRADESH
AR,ARUNACHAL PRADESH
AS,ASSAM
BR,BIHAR
CH,CHANDIGARH
CG,CHHATTISGARH
DD,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU
DL,DELHI
GA,GOA
GJ,GUJARAT
HR,HARYANA
HP,HIMACHAL PRADESH
JK,JAMMU AND KASHMIR
JH,JHARKHAND
KA,KARNATAKA
KL,KERALA
LA,LADAKH
LD,LAKSHADWEEP
MP,MADHYA PRADESH
MH,MAHARASHTRA
MN,MANIPUR
ML,MEGHALAYA
MZ,MIZORAM
NL,NAGALAND
OR,ODISHA
PY,PUDUCHERRY
PB,PUNJAB
RJ,RAJASTHAN
SK,SIKKIM
TN,TAMIL NADU
TS,TELANGANA
TR,TRIPURA
UP,UTTAR PRADESH
UA,UTTARAKHAND
WB,WEST BENGAL
XX,OTHER
AO,Army Post Office
