"Workflow Name","Document Type","Workflow State Field","Is Active","Don't Override Status","Send Email Alert","ID (Document States)","State (Document States)","Only Allow Edit For (Document States)","Doc Status (Document States)","Update Field (Document States)","Update Value (Document States)","Is Optional State (Document States)","Next Action Email Template (Document States)","Message (Document States)","ID (Transitions)","State (Transitions)","Action (Transitions)","Next State (Transitions)","Allowed (Transitions)","Allow Self Approval (Transitions)","Condition (Transitions)"
"Sell Collateral Application Workflow","Sell Collateral Application","workflow_state",1,0,0,"d560c1a019","Pending","Lender","0","status","Pending",0,"","","e7863ac6bf","Pending","Approve","Approved","Lender",1,""
"","","","","","","bfaef10fad","Approved","Lender","1","status","Approved",0,"","","dd4a4690e3","Pending","Reject","Rejected","Lender",1,""
"","","","","","","7f0b136ed5","Rejected","Lender","0","status","Rejected",0,"","","","","","","","",""
"Unpledge Application Approval","Unpledge Application","workflow_state",1,0,0,"10589abcaa","Pending","Lender","0","status","Pending",0,"","","37f64ab72d","Pending","Approve","Approved","System Manager",1,""
"","","","","","","a40873ebee","Approved","Lender","1","status","Approved",0,"","","e185dc7ca0","Pending","Approve","Approved","Lender",1,""
"","","","","","","11806a5d7f","Rejected","Lender","0","status","Rejected",0,"","","7394b20bfb","Pending","Reject","Rejected","System Manager",1,""
"","","","","","","","","","","","","","","","0805f1dcb1","Pending","Reject","Rejected","Lender",1,""
"Loan Transaction Approval","Loan Transaction","workflow_state",1,0,0,"dac84f01b1","Pending","Lender","0","status","Pending",0,"","","182e027d02","Pending","Approve","Approved","System Manager",1,"doc.allowable >= doc.requested"
"","","","","","","e490393bfe","Approved","Lender","1","status","Approved",0,"","","38bc12ff64","Pending","Approve","Approved","Lender",1,"doc.allowable >= doc.requested"
"","","","","","","3cba2a1280","Rejected","Lender","0","status","Rejected",0,"","","56c61d4123","Pending","Send for Approval","Ready for Approval","System Manager",1,"doc.transaction_type == ""Withdrawal"" and doc.allowable < doc.requested"
"","","","","","","df48fd82a9","Pending","Lender","0","status","Pending",0,"","","d8c540e506","Pending","Send for Approval","Ready for Approval","Lender",1,"doc.transaction_type == ""Withdrawal"" and doc.allowable < doc.requested"
"","","","","","","5595a2d538","Ready for Approval","Spark Transaction Approver","0","status","Ready for Approval",0,"","","40258dedf7","Pending","Reject","Rejected","System Manager",1,""
"","","","","","","6a3766cb48","Ready for Approval","System Manager","0","status","Ready for Approval",0,"","","65735c3264","Pending","Reject","Rejected","Lender",1,""
"","","","","","","","","","","","","","","","53b0084ca0","Ready for Approval","Approve","Approved","Spark Transaction Approver",1,""
"","","","","","","","","","","","","","","","83451bf6f8","Ready for Approval","Reject","Rejected","Spark Transaction Approver",1,""
"Top up Application Approval","Top up Application","workflow_state",1,0,0,"e30cccfc4a","Pending","Lender","0","status","Pending",0,"","","3d74616898","Pending","Esign","Esign Done","Loan Customer",1,""
"","","","","","","552570bbf8","Esign Done","Lender","0","status","Esign Done",0,"","","6beb027918","Pending","Esign","Esign Done","Lender",1,""
"","","","","","","f64658acd0","Approved","Lender","1","status","Approved",0,"","","cfc0fd2b39","Pending","Esign","Esign Done","System Manager",1,""
"","","","","","","09b09d351c","Rejected","Lender","0","status","Rejected",0,"","","773898fc73","Pending","Reject","Rejected","System Manager",1,""
"","","","","","","","","","","","","","","","e6866b9d20","Pending","Reject","Rejected","Lender",1,""
"","","","","","","","","","","","","","","","8a4b019079","Esign Done","Approve","Approved","Lender",1,""
"","","","","","","","","","","","","","","","cd4602b1c6","Esign Done","Approve","Approved","System Manager",1,""
"","","","","","","","","","","","","","","","62340cb3d8","Esign Done","Reject","Rejected","Lender",1,""
"","","","","","","","","","","","","","","","d590095973","Esign Done","Reject","Rejected","System Manager",1,""
"Loan Application Approval","Loan Application","workflow_state",1,0,0,"bace1119e4","Waiting to be pledged","Administrator","0","","",1,"","","94c180967e","Waiting to be pledged","Pending pledge","Executing pledge","Administrator",1,""
"","","","","","","5fa03eb53a","Executing pledge","Administrator","0","","",0,"","","59a12850f8","Executing pledge","Pending pledge","Pledge executed","Administrator",1,""
"","","","","","","65bf84ab6d","Pledge executed","Lender","0","status","Pledge executed",0,"","","362842f603","Pledge executed","Approve","Pledge accepted by Lender","Lender",1,""
"","","","","","","419ba3fa5a","Pledge accepted by Lender","Lender","0","status","Pledge accepted by Lender",0,"","","0ab4c1f553","Pledge executed","Approve","Pledge accepted by Lender","System Manager",1,""
