"Workflow Name","Document Type","Workflow State Field","Is Active","Don't Override Status","Send Email Alert","ID (Document States)","State (Document States)","Only Allow Edit For (Document States)","Doc Status (Document States)","Update Field (Document States)","Update Value (Document States)","Is Optional State (Document States)","Next Action Email Template (Document States)","Message (Document States)","ID (Transitions)","State (Transitions)","Action (Transitions)","Next State (Transitions)","Allowed (Transitions)","Allow Self Approval (Transitions)","Condition (Transitions)"
"Loan Application Approval","Loan Application","workflow_state",1,0,0,"bdf7e19d47","Waiting to be pledged","Administrator","0","","",1,"","","d5aa0095f3","Waiting to be pledged","Pending pledge","Executing pledge","Administrator",1,""
"","","","","","","e169fc23cb","Executing pledge","Administrator","0","","",0,"","","397cae9c62","Waiting to be pledged","Pending pledge","Executing pledge","Lender",1,""
"","","","","","","eaa69d0639","Pledge executed","Lender","0","status","Pledge executed",0,"","","7e4717267f","Waiting to be pledged","Reject","Rejected","Administrator",1,""
"","","","","","","07665dc75e","Pledge accepted by Lender","Lender","0","status","Pledge accepted by Lender",0,"","","075f54f28f","Waiting to be pledged","Reject","Rejected","Lender",1,""
"","","","","","","22aac3086d","Esign Done","Lender","0","status","Esign Done",0,"","","487fee4d8e","Waiting to be pledged","Reject","Rejected","Loan Customer",1,""
"","","","","","","2db50c96fe","Ready for Approval","Lender","0","status","Ready for Approval",0,"","","16bd79873a","Executing pledge","Pending pledge","Pledge executed","Administrator",1,""
"","","","","","","efdb0ca14b","Approved","Lender","0","status","Approved",0,"","","0991dd747f","Executing pledge","Pending pledge","Pledge executed","Lender",1,""
"","","","","","","8fddfebebe","Rejected","Lender","0","status","Rejected",0,"","","4c3d6110aa","Pledge executed","Approve","Pledge accepted by Lender","Lender",1,""
"","","","","","","","","","","","","","","","ed7e06fd6e","Pledge executed","Approve","Pledge accepted by Lender","System Manager",1,""
"","","","","","","","","","","","","","","","e3e2b648b4","Pledge executed","Reject","Rejected","Administrator",1,""
"","","","","","","","","","","","","","","","d123fbfadd","Pledge executed","Reject","Rejected","Lender",1,""
"","","","","","","","","","","","","","","","7751b10b9c","Pledge accepted by Lender","Esign","Esign Done","Lender",1,"doc.get('loan_margin_shortfall') == None"
"","","","","","","","","","","","","","","","bf3aaaa26f","Pledge accepted by Lender","Esign","Esign Done","Loan Customer",1,"doc.get('loan_margin_shortfall') == None"
"","","","","","","","","","","","","","","","9f96f5ad64","Pledge accepted by Lender","Esign","Esign Done","System Manager",1,"doc.get('loan_margin_shortfall') == None"
"","","","","","","","","","","","","","","","b1d3bf2a9c","Pledge accepted by Lender","Send for Approval","Ready for Approval","System Manager",1,"doc.get('loan_margin_shortfall') != None"
"","","","","","","","","","","","","","","","7b378a2d87","Pledge accepted by Lender","Send for Approval","Ready for Approval","Loan Customer",1,"doc.get('loan_margin_shortfall') != None"
"","","","","","","","","","","","","","","","b331fd40cd","Pledge accepted by Lender","Send for Approval","Ready for Approval","Lender",1,"doc.get('loan_margin_shortfall') != None"
"","","","","","","","","","","","","","","","4c503a8f5a","Esign Done","Approve","Approved","Lender",1,""
"","","","","","","","","","","","","","","","facfbb5fb4","Esign Done","Approve","Approved","System Manager",1,""
"","","","","","","","","","","","","","","","30f48ac584","Ready for Approval","Approve","Approved","System Manager",1,""
"","","","","","","","","","","","","","","","e1a6608c85","Ready for Approval","Approve","Approved","Lender",1,""
"","","","","","","","","","","","","","","","a38dd24043","Esign Done","Reject","Rejected","System Manager",1,""
"","","","","","","","","","","","","","","","a34483e641","Esign Done","Reject","Rejected","Lender",1,""
"","","","","","","","","","","","","","","","e5934bb1f4","Ready for Approval","Reject","Rejected","System Manager",1,""
"","","","","","","","","","","","","","","","6cf7ba954e","Ready for Approval","Reject","Rejected","Lender",1,""
