"Workflow Name","Document Type","Workflow State Field","Is Active","Don't Override Status","Send Email Alert","ID (Document States)","State (Document States)","Only Allow Edit For (Document States)","Doc Status (Document States)","Update Field (Document States)","Update Value (Document States)","Is Optional State (Document States)","Next Action Email Template (Document States)","Message (Document States)","ID (Transitions)","State (Transitions)","Action (Transitions)","Next State (Transitions)","Allowed (Transitions)","Allow Self Approval (Transitions)","Condition (Transitions)"
"Loan Renewal Application Approval","Spark Loan Renewal Application","workflow_state",1,0,0,"b0610f115b","Pending","Administrator","0","status","Pending",0,"","","f4e7dbc3f1","Pending","Execute","Loan Renewal executed","Administrator",1,""
"","","","","","","d15af2b7a8","Loan Renewal executed","Lender","0","status","Loan Renewal executed",0,"","","fcde822d6e","Pending","Reject","Rejected","Administrator",1,""
"","","","","","","0031bbe56b","Loan Renewal accepted by Lender","Lender","0","status","Loan Renewal accepted by Lender",0,"","","2f4426654d","Pending","Execute","Loan Renewal executed","Loan Customer",1,""
"","","","","","","e19a6f4fd3","Esign Done","Lender","0","status","Esign Done",0,"","","592d6faa9f","Loan Renewal executed","Approve","Loan Renewal accepted by Lender","Lender",1,""
"","","","","","","cff8c04fd2","Approved","Lender","0","status","Approved",0,"","","7b4334a8bb","Loan Renewal executed","Approve","Loan Renewal accepted by Lender","System Manager",1,""
"","","","","","","0378fcf5ee","Rejected","Lender","0","status","Rejected",0,"","","b6db48ba30","Loan Renewal executed","Reject","Rejected","Administrator",1,""
"","","","","","","","","","","","","","","","38fd79185f","Loan Renewal executed","Reject","Rejected","Lender",1,""
"","","","","","","","","","","","","","","","0aa3da3a9a","Loan Renewal accepted by Lender","Esign","Esign Done","Lender",1,"doc.get('loan_margin_shortfall') == None"
"","","","","","","","","","","","","","","","47d9c00194","Loan Renewal accepted by Lender","Reject","Rejected","Lender",1,"doc.get('loan_margin_shortfall') == None"
"","","","","","","","","","","","","","","","1d27987d34","Loan Renewal accepted by Lender","Reject","Rejected","Loan Customer",1,"doc.get('loan_margin_shortfall') == None"
"","","","","","","","","","","","","","","","5adedca927","Loan Renewal accepted by Lender","Reject","Rejected","Lender",1,"doc.get('loan_margin_shortfall') == None"
"","","","","","","","","","","","","","","","4a7b69ada7","Loan Renewal accepted by Lender","Esign","Esign Done","Loan Customer",1,"doc.get('loan_margin_shortfall') == None"
"","","","","","","","","","","","","","","","fb5fa3f437","Loan Renewal accepted by Lender","Esign","Esign Done","System Manager",1,"doc.get('loan_margin_shortfall') == None"
"","","","","","","","","","","","","","","","2f740929f2","Esign Done","Approve","Approved","Lender",1,""
"","","","","","","","","","","","","","","","3dd1637450","Esign Done","Approve","Approved","System Manager",1,""
"","","","","","","","","","","","","","","","a024954779","Esign Done","Reject","Rejected","System Manager",1,""
"","","","","","","","","","","","","","","","edc98b40ed","Esign Done","Reject","Rejected","Lender",1,""
"Sell Collateral Application Workflow","Sell Collateral Application","workflow_state",1,0,0,"98c7d3faba","Pending","Lender","0","status","Pending",0,"","","2480b32a07","Pending","Approve","Approved","Lender",1,"(doc.instrument_type == ""Shares"") or (doc.instrument_type == ""Mutual Fund"" and doc.is_validated and doc.is_initiated)"
"","","","","","","945dd8b404","Approved","Lender","1","status","Approved",0,"","","4ed815bf2a","Pending","Reject","Rejected","Lender",1,""
"","","","","","","3acc44e652","Rejected","Lender","0","status","Rejected",0,"","","","","","","","",""
"Unpledge Application Approval","Unpledge Application","workflow_state",1,0,0,"b7b8f46ac3","Pending","Lender","0","status","Pending",0,"","","3cb13a2758","Pending","Approve","Approved","System Manager",1,"(doc.instrument_type == ""Shares"") or (doc.instrument_type == ""Mutual Fund"" and doc.is_validated and doc.is_initiated)"
"","","","","","","762896e7a1","Approved","Lender","1","status","Approved",0,"","","bed468a9f7","Pending","Approve","Approved","Lender",1,"(doc.instrument_type == ""Shares"") or (doc.instrument_type == ""Mutual Fund"" and doc.is_validated and doc.is_initiated)"
"","","","","","","8f5aab43d3","Rejected","Lender","0","status","Rejected",0,"","","74baf68f4e","Pending","Reject","Rejected","System Manager",1,""
"","","","","","","","","","","","","","","","88bf5b32a3","Pending","Reject","Rejected","Lender",1,""
"Loan Transaction Approval","Loan Transaction","workflow_state",1,0,0,"5ef2de5815","Pending","Lender","0","status","Pending",0,"","","201ce9691b","Pending","Approve","Approved","System Manager",1,"doc.allowable >= doc.requested"
"","","","","","","5a753acbaf","Approved","Lender","1","status","Approved",0,"","","8b62c48076","Pending","Approve","Approved","Lender",1,"doc.allowable >= doc.requested"
"","","","","","","7c4ca93913","Rejected","Lender","0","status","Rejected",0,"","","eb5bfc9d77","Pending","Approve","Approved","Razorpay User",1,"doc.transaction_type == ""Payment"" and doc.allowable >= doc.requested"
"","","","","","","ebc3a50e27","Pending","Lender","0","status","Pending",0,"","","2e49c72826","Pending","Send for Approval","Ready for Approval","System Manager",1,"doc.transaction_type == ""Withdrawal"" and doc.allowable < doc.requested"
"","","","","","","602e287cca","Ready for Approval","Spark Transaction Approver","0","status","Ready for Approval",0,"","","411676acff","Pending","Send for Approval","Ready for Approval","Lender",1,"doc.transaction_type == ""Withdrawal"" and doc.allowable < doc.requested"
"","","","","","","77d33f4bb2","Ready for Approval","System Manager","0","status","Ready for Approval",0,"","","7bdc4229ee","Pending","Reject","Rejected","System Manager",1,""
"","","","","","","","","","","","","","","","fa2ff119aa","Pending","Reject","Rejected","Lender",1,""
"","","","","","","","","","","","","","","","1057502d71","Pending","Reject","Rejected","Razorpay User",1,"doc.transaction_type == ""Payment"""
"","","","","","","","","","","","","","","","c0e4108b5b","Ready for Approval","Approve","Approved","Spark Transaction Approver",1,""
"","","","","","","","","","","","","","","","85bc5d2ed4","Ready for Approval","Reject","Rejected","Spark Transaction Approver",1,""
"Top up Application Approval","Top up Application","workflow_state",1,0,0,"f21345c6d5","Pending","Lender","0","status","Pending",0,"","","4ac8b3e97e","Pending","Esign","Esign Done","Loan Customer",1,""
"","","","","","","6e8b6825a7","Esign Done","Lender","0","status","Esign Done",0,"","","c985d2c06b","Pending","Esign","Esign Done","Lender",1,""
"","","","","","","713651d8d4","Approved","Lender","1","status","Approved",0,"","","deee775b04","Pending","Esign","Esign Done","System Manager",1,""
"","","","","","","0ab254bb09","Rejected","Lender","0","status","Rejected",0,"","","b74f8cd65f","Pending","Reject","Rejected","System Manager",1,""
"","","","","","","","","","","","","","","","60d7fd8512","Pending","Reject","Rejected","Lender",1,""
"","","","","","","","","","","","","","","","88000509ab","Esign Done","Approve","Approved","Lender",1,""
"","","","","","","","","","","","","","","","9b2ee262df","Esign Done","Approve","Approved","System Manager",1,""
"","","","","","","","","","","","","","","","8f265c08fc","Esign Done","Reject","Rejected","Lender",1,""
"","","","","","","","","","","","","","","","d1014be58c","Esign Done","Reject","Rejected","System Manager",1,""
"Loan Application Approval","Loan Application","workflow_state",1,0,0,"b81dc8c7aa","Waiting to be pledged","Administrator","0","","",1,"","","08186fe3d3","Waiting to be pledged","Pending pledge","Executing pledge","Administrator",1,""
"","","","","","","bc3166acd6","Executing pledge","Administrator","0","","",0,"","","75597661e9","Waiting to be pledged","Reject","Rejected","Administrator",1,""
"","","","","","","6efcbbb245","Pledge executed","Lender","0","status","Pledge executed",0,"","","d71dd2e4b0","Waiting to be pledged","Reject","Rejected","Lender",1,""
"","","","","","","92b0bbb757","Pledge accepted by Lender","Lender","0","status","Pledge accepted by Lender",0,"","","be05cd5580","Waiting to be pledged","Reject","Rejected","Loan Customer",1,""
"","","","","","","45cf0a2f38","Esign Done","Lender","0","status","Esign Done",0,"","","c7c42f2cb8","Executing pledge","Pending pledge","Pledge executed","Administrator",1,""
